Country code,State code,Postcode,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
IN,UP,,,9.00,CGST,1,0,1,
IN,UP,,,9.00,SGST,2,0,1,
IN,AN,,,18.00,IGST,1,0,1,
IN,AP,,,18.00,IGST,1,0,1,
IN,AR,,,18.00,IGST,1,0,1,
IN,AS,,,18.00,IGST,1,0,1,
IN,BR,,,18.00,IGST,1,0,1,
IN,CH,,,18.00,IGST,1,0,1,
IN,CT,,,18.00,IGST,1,0,1,
IN,DN,,,18.00,IGST,1,0,1,
IN,DL,,,18.00,IGST,1,0,1,
IN,GA,,,18.00,IGST,1,0,1,
IN,GJ,,,18.00,IGST,1,0,1,
IN,HR,,,18.00,IGST,1,0,1,
IN,HP,,,18.00,IGST,1,0,1,
IN,JK,,,18.00,IGST,1,0,1,
IN,JH,,,18.00,IGST,1,0,1,
IN,KA,,,18.00,IGST,1,0,1,
IN,KL,,,18.00,IGST,1,0,1,
IN,LA,,,18.00,IGST,1,0,1,
IN,LD,,,18.00,IGST,1,0,1,
IN,MP,,,18.00,IGST,1,0,1,
IN,MH,,,18.00,IGST,1,0,1,
IN,MN,,,18.00,IGST,1,0,1,
IN,ML,,,18.00,IGST,1,0,1,
IN,MZ,,,18.00,IGST,1,0,1,
IN,NL,,,18.00,IGST,1,0,1,
IN,OR,,,18.00,IGST,1,0,1,
IN,PY,,,18.00,IGST,1,0,1,
IN,PB,,,18.00,IGST,1,0,1,
IN,RJ,,,18.00,IGST,1,0,1,
IN,SK,,,18.00,IGST,1,0,1,
IN,TN,,,18.00,IGST,1,0,1,
IN,TS,,,18.00,IGST,1,0,1,
IN,TR,,,18.00,IGST,1,0,1,
IN,UT,,,18.00,IGST,1,0,1,
IN,WB,,,18.00,IGST,1,0,1,
