Country code,State code,Postcode,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
IN,UP,,,2.50,CGST,1,0,1,
IN,UP,,,2.50,SGST,2,0,1,
IN,AN,,,5.00,IGST,1,0,1,
IN,AP,,,5.00,IGST,1,0,1,
IN,AR,,,5.00,IGST,1,0,1,
IN,AS,,,5.00,IGST,1,0,1,
IN,BR,,,5.00,IGST,1,0,1,
IN,CH,,,5.00,IGST,1,0,1,
IN,CT,,,5.00,IGST,1,0,1,
IN,DN,,,5.00,IGST,1,0,1,
IN,DL,,,5.00,IGST,1,0,1,
IN,GA,,,5.00,IGST,1,0,1,
IN,GJ,,,5.00,IGST,1,0,1,
IN,HR,,,5.00,IGST,1,0,1,
IN,HP,,,5.00,IGST,1,0,1,
IN,JK,,,5.00,IGST,1,0,1,
IN,JH,,,5.00,IGST,1,0,1,
IN,KA,,,5.00,IGST,1,0,1,
IN,KL,,,5.00,IGST,1,0,1,
IN,LA,,,5.00,IGST,1,0,1,
IN,LD,,,5.00,IGST,1,0,1,
IN,MP,,,5.00,IGST,1,0,1,
IN,MH,,,5.00,IGST,1,0,1,
IN,MN,,,5.00,IGST,1,0,1,
IN,ML,,,5.00,IGST,1,0,1,
IN,MZ,,,5.00,IGST,1,0,1,
IN,NL,,,5.00,IGST,1,0,1,
IN,OR,,,5.00,IGST,1,0,1,
IN,PY,,,5.00,IGST,1,0,1,
IN,PB,,,5.00,IGST,1,0,1,
IN,RJ,,,5.00,IGST,1,0,1,
IN,SK,,,5.00,IGST,1,0,1,
IN,TN,,,5.00,IGST,1,0,1,
IN,TS,,,5.00,IGST,1,0,1,
IN,TR,,,5.00,IGST,1,0,1,
IN,UT,,,5.00,IGST,1,0,1,
IN,WB,,,5.00,IGST,1,0,1,
